Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
1:42:57 PM,2014-04-09 1:42:57 PM,453,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,38663.23,
1:42:49 PM,2014-04-09 1:42:49 PM,105,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,9242.99,
1:42:42 PM,2014-04-09 1:42:42 PM,560,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,47097.91,
1:42:26 PM,2014-04-09 1:42:26 PM,<0.50,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,121.13,
1:42:17 PM,2014-04-09 1:42:17 PM,491,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,41714.75,
1:42:11 PM,2014-04-09 1:42:11 PM,510,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,43593.46,
1:42:04 PM,2014-04-09 1:42:04 PM,452,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,38580.39,
1:41:56 PM,2014-04-09 1:41:56 PM,463,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,39498.47,
1:41:49 PM,2014-04-09 1:41:49 PM,464,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,39526.54,
1:41:43 PM,2014-04-09 1:41:43 PM,341,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,29462.63,
1:41:27 PM,2014-04-09 1:41:27 PM,371,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,31932.51,
1:41:20 PM,2014-04-09 1:41:20 PM,301,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,26071.91,
1:41:14 PM,2014-04-09 1:41:14 PM,264,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,22943.90,
1:41:07 PM,2014-04-09 1:41:07 PM,385,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,33057.97,
1:41:00 PM,2014-04-09 1:41:00 PM,481,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,40970.46,
1:40:54 PM,2014-04-09 1:40:54 PM,454,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,38715.47,
1:40:47 PM,2014-04-09 1:40:47 PM,488,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,41514.15,
1:40:16 PM,2014-04-09 1:40:16 PM,433,ng/ml,43.3,ng/µL,dsDNA HS,2,100.00,95.51,42467.24,,BLUE,37006.33,
3:20:00 PM,2014-04-03 3:20:00 PM,0.0733,µg/ml,,,dsDNA BR,,,383.93,46804.86,,BLUE,1266.22,
3:19:53 PM,2014-04-03 3:19:53 PM,0.335,µg/ml,,,dsDNA BR,,,383.93,46804.86,,BLUE,4358.52,
3:19:47 PM,2014-04-03 3:19:47 PM,0.167,µg/ml,,,dsDNA BR,,,383.93,46804.86,,BLUE,2380.86,
3:19:40 PM,2014-04-03 3:19:40 PM,0.625,µg/ml,,,dsDNA BR,,,383.93,46804.86,,BLUE,7668.58,
3:19:13 PM,2014-04-03 3:19:13 PM,0.221,µg/ml,22.1,ng/µL,dsDNA BR,2,100.00,383.93,46804.86,,BLUE,3019.67,
